Percentage served,Time in ms
0,14.00 
1,73.00 
2,130.00 
3,193.00 
4,255.00 
5,298.00 
6,301.00 
7,302.00 
8,303.00 
9,304.00 
10,304.00 
11,305.00 
12,306.00 
13,307.00 
14,308.00 
15,309.00 
16,309.00 
17,311.00 
18,312.00 
19,312.00 
20,313.00 
21,314.00 
22,314.00 
23,315.00 
24,315.00 
25,316.00 
26,316.00 
27,316.00 
28,317.00 
29,318.00 
30,318.00 
31,318.00 
32,319.00 
33,320.00 
34,320.00 
35,321.00 
36,321.00 
37,321.00 
38,322.00 
39,322.00 
40,322.00 
41,323.00 
42,323.00 
43,323.00 
44,323.00 
45,324.00 
46,324.00 
47,324.00 
48,324.00 
49,324.00 
50,325.00 
51,325.00 
52,325.00 
53,325.00 
54,326.00 
55,326.00 
56,326.00 
57,327.00 
58,328.00 
59,328.00 
60,329.00 
61,333.00 
62,335.00 
63,337.00 
64,339.00 
65,341.00 
66,343.00 
67,344.00 
68,346.00 
69,347.00 
70,349.00 
71,349.00 
72,350.00 
73,351.00 
74,352.00 
75,353.00 
76,353.00 
77,354.00 
78,356.00 
79,358.00 
80,360.00 
81,362.00 
82,367.00 
83,370.00 
84,372.00 
85,376.00 
86,386.00 
87,390.00 
88,397.00 
89,399.00 
90,412.00 
91,443.00 
92,559.00 
93,566.00 
94,586.00 
95,636.00 
96,738.00 
97,744.00 
98,746.00 
99,908.00 
