Percentage served,Time in ms
0,40.00 
1,137.00 
2,269.00 
3,393.00 
4,595.00 
5,599.00 
6,601.00 
7,602.00 
8,603.00 
9,604.00 
10,604.00 
11,605.00 
12,606.00 
13,607.00 
14,608.00 
15,609.00 
16,611.00 
17,612.00 
18,614.00 
19,616.00 
20,618.00 
21,619.00 
22,621.00 
23,623.00 
24,624.00 
25,626.00 
26,629.00 
27,630.00 
28,633.00 
29,638.00 
30,642.00 
31,643.00 
32,644.00 
33,645.00 
34,646.00 
35,647.00 
36,649.00 
37,650.00 
38,651.00 
39,652.00 
40,653.00 
41,655.00 
42,656.00 
43,657.00 
44,659.00 
45,666.00 
46,670.00 
47,674.00 
48,677.00 
49,679.00 
50,682.00 
51,686.00 
52,687.00 
53,691.00 
54,697.00 
55,719.00 
56,727.00 
57,733.00 
58,738.00 
59,761.00 
60,1606.00 
61,1612.00 
62,1624.00 
63,1654.00 
64,1658.00 
65,1822.00 
66,1827.00 
67,1831.00 
68,1833.00 
69,1837.00 
70,1840.00 
71,1852.00 
72,1855.00 
73,1865.00 
74,1868.00 
75,1874.00 
76,1887.00 
77,1900.00 
78,1940.00 
79,1951.00 
80,1980.00 
81,1998.00 
82,2003.00 
83,2006.00 
84,2013.00 
85,2018.00 
86,2021.00 
87,2024.00 
88,2025.00 
89,2028.00 
90,2030.00 
91,2033.00 
92,2033.00 
93,2034.00 
94,2036.00 
95,2055.00 
96,2060.00 
97,2064.00 
98,2077.00 
99,2107.00 
